12:43:18: Edge Data
12:43:18: ---------
12:43:18: Triangle 0 = {indexSet=0, vertexSet=0, v0=0, v1=1, v2=2}
12:43:18: Triangle 1 = {indexSet=0, vertexSet=0, v0=1, v1=3, v2=2}
12:43:18: Triangle 2 = {indexSet=0, vertexSet=0, v0=4, v1=5, v2=6}
12:43:18: Triangle 3 = {indexSet=0, vertexSet=0, v0=7, v1=8, v2=9}
12:43:18: Triangle 4 = {indexSet=0, vertexSet=0, v0=9, v1=10, v2=7}
12:43:18: Triangle 5 = {indexSet=0, vertexSet=0, v0=7, v1=11, v2=12}
12:43:18: Triangle 6 = {indexSet=0, vertexSet=0, v0=13, v1=14, v2=15}
12:43:18: Triangle 7 = {indexSet=0, vertexSet=0, v0=15, v1=6, v2=13}
12:43:18: Triangle 8 = {indexSet=0, vertexSet=0, v0=16, v1=17, v2=18}
12:43:18: Triangle 9 = {indexSet=0, vertexSet=0, v0=18, v1=19, v2=16}
12:43:18: Triangle 10 = {indexSet=0, vertexSet=0, v0=14, v1=13, v2=20}
12:43:18: Triangle 11 = {indexSet=0, vertexSet=0, v0=21, v1=22, v2=23}
12:43:18: Triangle 12 = {indexSet=0, vertexSet=0, v0=22, v1=20, v2=23}
12:43:18: Triangle 13 = {indexSet=0, vertexSet=0, v0=24, v1=25, v2=26}
12:43:18: Triangle 14 = {indexSet=0, vertexSet=0, v0=26, v1=27, v2=28}
12:43:18: Triangle 15 = {indexSet=0, vertexSet=0, v0=21, v1=29, v2=30}
12:43:18: Triangle 16 = {indexSet=0, vertexSet=0, v0=31, v1=32, v2=33}
12:43:18: Triangle 17 = {indexSet=0, vertexSet=0, v0=34, v1=30, v2=35}
12:43:18: Triangle 18 = {indexSet=0, vertexSet=0, v0=30, v1=36, v2=35}
12:43:18: Triangle 19 = {indexSet=0, vertexSet=0, v0=36, v1=37, v2=35}
12:43:18: Triangle 20 = {indexSet=0, vertexSet=0, v0=38, v1=39, v2=40}
12:43:18: Triangle 21 = {indexSet=0, vertexSet=0, v0=41, v1=42, v2=32}
12:43:18: Triangle 22 = {indexSet=0, vertexSet=0, v0=43, v1=44, v2=45}
12:43:18: Triangle 23 = {indexSet=0, vertexSet=0, v0=39, v1=3, v2=46}
12:43:18: Triangle 24 = {indexSet=0, vertexSet=0, v0=47, v1=3, v2=48}
12:43:18: Triangle 25 = {indexSet=0, vertexSet=0, v0=49, v1=50, v2=51}
12:43:18: Triangle 26 = {indexSet=0, vertexSet=0, v0=52, v1=53, v2=54}
12:43:18: Triangle 27 = {indexSet=0, vertexSet=0, v0=55, v1=56, v2=57}
12:43:18: Triangle 28 = {indexSet=0, vertexSet=0, v0=5, v1=4, v2=58}
12:43:18: Triangle 29 = {indexSet=0, vertexSet=0, v0=2, v1=47, v2=59}
12:43:18: Triangle 30 = {indexSet=0, vertexSet=0, v0=60, v1=61, v2=62}
12:43:18: Triangle 31 = {indexSet=0, vertexSet=0, v0=62, v1=63, v2=60}
12:43:18: Triangle 32 = {indexSet=0, vertexSet=0, v0=64, v1=17, v2=65}
