12:43:17: Edge Data
12:43:17: ---------
12:43:17: Triangle 0 = {indexSet=0, vertexSet=0, v0=0, v1=1, v2=2}
12:43:17: Triangle 1 = {indexSet=0, vertexSet=0, v0=0, v1=2, v2=3}
12:43:17: Triangle 2 = {indexSet=0, vertexSet=0, v0=4, v1=5, v2=6}
12:43:17: Triangle 3 = {indexSet=0, vertexSet=0, v0=4, v1=6, v2=7}
12:43:17: Triangle 4 = {indexSet=0, vertexSet=0, v0=8, v1=9, v2=10}
12:43:17: Triangle 5 = {indexSet=0, vertexSet=0, v0=8, v1=10, v2=11}
12:43:17: Triangle 6 = {indexSet=0, vertexSet=0, v0=12, v1=13, v2=14}
12:43:17: Triangle 7 = {indexSet=0, vertexSet=0, v0=12, v1=14, v2=15}
12:43:17: Triangle 8 = {indexSet=0, vertexSet=0, v0=16, v1=17, v2=18}
12:43:17: Triangle 9 = {indexSet=0, vertexSet=0, v0=16, v1=18, v2=19}
12:43:17: Triangle 10 = {indexSet=0, vertexSet=0, v0=20, v1=21, v2=22}
12:43:17: Triangle 11 = {indexSet=0, vertexSet=0, v0=20, v1=22, v2=23}
12:43:17: Triangle 12 = {indexSet=0, vertexSet=0, v0=24, v1=25, v2=26}
12:43:17: Triangle 13 = {indexSet=0, vertexSet=0, v0=24, v1=26, v2=27}
12:43:17: Triangle 14 = {indexSet=0, vertexSet=0, v0=28, v1=29, v2=30}
12:43:17: Triangle 15 = {indexSet=0, vertexSet=0, v0=28, v1=30, v2=31}
12:43:17: Triangle 16 = {indexSet=0, vertexSet=0, v0=32, v1=33, v2=34}
12:43:17: Triangle 17 = {indexSet=0, vertexSet=0, v0=32, v1=34, v2=35}
12:43:17: Triangle 18 = {indexSet=0, vertexSet=0, v0=36, v1=37, v2=38}
12:43:17: Triangle 19 = {indexSet=0, vertexSet=0, v0=36, v1=38, v2=39}
12:43:17: Triangle 20 = {indexSet=0, vertexSet=0, v0=40, v1=41, v2=42}
12:43:17: Triangle 21 = {indexSet=0, vertexSet=0, v0=40, v1=42, v2=43}
12:43:17: Triangle 22 = {indexSet=0, vertexSet=0, v0=44, v1=45, v2=46}
12:43:17: Triangle 23 = {indexSet=0, vertexSet=0, v0=44, v1=46, v2=47}
12:43:17: Triangle 24 = {indexSet=0, vertexSet=0, v0=48, v1=49, v2=50}
12:43:17: Triangle 25 = {indexSet=0, vertexSet=0, v0=48, v1=50, v2=51}
12:43:17: Triangle 26 = {indexSet=0, vertexSet=0, v0=52, v1=53, v2=54}
12:43:17: Triangle 27 = {indexSet=0, vertexSet=0, v0=52, v1=54, v2=55}
